pb,mag,magerr,mjd
R,17.08630536799132,0.03973028663742994,58324.16951389983
g,17.972017236338715,0.06875567131278357,58374.21436339989
g,17.756933404610205,0.024310158276414848,58287.24771990022
g,17.71623073003262,0.04661674360849491,58369.22693290003
g,17.19043220746698,0.03516003954052651,58492.54799770005
R,17.596487320940994,0.027108372000150514,58374.12982639996
g,17.75616747051667,0.05972485794964601,58511.51508100005
g,17.75616510946971,0.05972431936047495,58511.51508100005
R,17.165311351969898,0.026391198411534703,58311.18918980006
g,16.886686278589437,0.032230002958487415,58296.22542819986
R,17.587030647916635,0.03461792769494871,58556.50408559991
R,17.107368717237957,0.029267598996874814,58547.51815970009
g,17.065542321022775,0.02618882932443813,58492.532002300024
g,16.881172557531087,0.03088719728302618,58690.19333329983
g,16.851309075003876,0.029610441554774172,58675.298101900145
g,16.801528226712318,0.01088735918344632,58278.336932899896
g,16.855065968450905,0.03275061101028706,58306.29805559991
g,17.62729250593118,0.03543158600568058,58522.51385420002
g,17.71585951117213,0.034102280487954675,58600.39146990003
R,17.11325294271136,0.027813533069774396,58632.302511599846
g,16.884378655419095,0.02873377257984998,58365.215625000186
g,17.905525512255092,0.06531174803390137,58388.11212959979
g,17.911192765847844,0.08596518944319959,58362.19115740014
g,17.89546881047923,0.0532069127758785,58373.20445600012
g,16.89133807365406,0.02625785014512963,58365.216539400164
g,16.627720746683323,0.025907553075768877,58380.11719910009
g,17.819029313607718,0.06346534078060985,58371.20268520014
R,17.591872904741066,0.028177134790602486,58362.13614579989
R,17.620944576313274,0.03315125906739953,58362.15388889983
R,17.71993921082526,0.039054413304084906,58377.144236099906
R,17.145852357312343,0.02403559117927311,58632.30923609994
g,17.34441864103188,0.031634384007594246,58666.209988399874
R,17.008080530348142,0.02595021357337361,58336.20689810021
R,16.98414685354801,0.023456804727365704,58353.147465299815
g,16.84061974620719,0.0297905147452739,58352.14899310004
R,17.088996022893514,0.029164165114831102,58324.16900460003
R,17.13935950005947,0.029109745372070617,58352.229340299964
g,17.828481161023614,0.0580438023569219,58319.167963000014
R,17.145073757338526,0.016581465857924523,58281.21453699982
g,16.572208983422886,0.009162264368700681,58281.25680560013
R,17.26854289567485,0.027372884393762762,58340.18481480004
R,17.64302167476606,0.03857858006980368,58303.29982639989
R,17.13169508314618,0.03215666011094111,58296.26716439985
R,17.020107191458912,0.025938927183168807,58336.21276619984
g,17.88587584154644,0.0560044457013532,58362.191620400175
R,17.310978019128612,0.01940863095184692,58284.27437500004
g,16.862660026129785,0.03298324073991467,58377.20473380014
g,17.81869241359694,0.0646380751948191,58672.3017477002
g,17.918350056056852,0.08460737944587311,58387.18321759999
g,16.981908186182682,0.03249516034195709,58650.21153939981
g,17.736145969241658,0.051686525583229205,58638.35833329987
R,17.716065103747038,0.04649590787575754,58291.25408559991
R,16.77309744946809,0.023665694932903172,58575.411608799826
R,17.645619972567115,0.054869392920763226,58567.52399310004
g,17.722076625053926,0.04197780135206346,58343.18315970013
g,17.895174282048906,0.06339040460399109,58586.41906249989
g,17.874035918586856,0.04895295106459842,58583.37783560017
R,17.10735940270552,0.029268266197283357,58547.51815970009
g,17.058197145354946,0.032696763052058896,58336.23613430001
g,17.716973051472745,0.06527323770710873,58580.43707180023
g,17.738448659346158,0.05965327108855122,58511.50350689981
g,17.706606162943032,0.037139394161392156,58638.349363400135
g,16.836677699183408,0.044367784596455115,58619.26898150006
R,17.142979559934027,0.032038010906464784,58663.304814800154
g,17.799261189022573,0.05333518009333686,58597.46479169978
R,16.928373525483075,0.026672389656354878,58616.378923600074
